Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,1200
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,1048
Lower Discriminator:,103
Calibration Coefficients:Elapsed Real Time:,122.93
Elapsed Live Time:,122.6
Start Time:,September 19, 2023, 10:36:21
End Time:,September 19, 2023, 10:38:24
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,600,1023,2109,625,0,843

Channel Data:
Channel,Energy,Counts
0,,3
1,,2
2,,4
3,,3
4,,6
5,,5
6,,1
7,,4
8,,3
9,,4
10,,0
11,,4
12,,4
13,,4
14,,6
15,,1
16,,4
17,,0
18,,2
19,,2
20,,1
21,,2
22,,3
23,,2
24,,2
25,,2
26,,1
27,,1
28,,3
29,,1
30,,2
31,,1
32,,0
33,,4
34,,2
35,,3
36,,0
37,,1
38,,0
39,,0
40,,1
41,,2
42,,4
43,,5
44,,2
45,,3
46,,0
47,,4
48,,1
49,,1
50,,3
51,,7
52,,4
53,,0
54,,2
55,,2
56,,3
57,,3
58,,1
59,,0
60,,1
61,,1
62,,3
63,,1
64,,0
65,,2
66,,2
67,,3
68,,1
69,,2
70,,0
71,,2
72,,2
73,,1
74,,3
75,,1
76,,4
77,,0
78,,4
79,,1
80,,2
81,,3
82,,5
83,,1
84,,2
85,,1
86,,1
87,,0
88,,3
89,,2
90,,2
91,,2
92,,2
93,,1
94,,2
95,,2
96,,0
97,,3
98,,2
99,,2
100,,3
101,,4
102,,3
103,,1
104,,6
105,,2
106,,0
107,,4
108,,3
109,,7
110,,5
111,,7
112,,4
113,,8
114,,6
115,,4
116,,7
117,,7
118,,9
119,,5
120,,12
121,,8
122,,6
123,,4
124,,5
125,,1
126,,3
127,,4
128,,5
129,,8
130,,5
131,,5
132,,5
133,,8
134,,5
135,,10
136,,8
137,,4
138,,7
139,,4
140,,3
141,,4
142,,4
143,,6
144,,2
145,,2
146,,7
147,,5
148,,7
149,,9
150,,4
151,,4
152,,4
153,,8
154,,8
155,,8
156,,6
157,,8
158,,11
159,,5
160,,5
161,,9
162,,3
163,,7
164,,6
165,,3
166,,6
167,,12
168,,9
169,,13
170,,8
171,,17
172,,8
173,,5
174,,16
175,,15
176,,12
177,,7
178,,7
179,,11
180,,12
181,,18
182,,16
183,,13
184,,14
185,,23
186,,23
187,,14
188,,26
189,,18
190,,30
191,,28
192,,31
193,,22
194,,36
195,,44
196,,26
197,,35
198,,39
199,,31
200,,29
201,,45
202,,47
203,,38
204,,52
205,,41
206,,43
207,,54
208,,51
209,,64
210,,43
211,,56
212,,64
213,,47
214,,68
215,,58
216,,64
217,,65
218,,62
219,,71
220,,71
221,,85
222,,50
223,,50
224,,77
225,,62
226,,83
227,,91
228,,81
229,,60
230,,79
231,,82
232,,66
233,,86
234,,82
235,,93
236,,79
237,,89
238,,86
239,,80
240,,87
241,,73
242,,89
243,,82
244,,84
245,,70
246,,91
247,,99
248,,95
249,,88
250,,105
251,,78
252,,86
253,,90
254,,83
255,,95
256,,73
257,,73
258,,77
259,,83
260,,77
261,,70
262,,62
263,,74
264,,57
265,,63
266,,64
267,,61
268,,52
269,,64
270,,69
271,,72
272,,61
273,,55
274,,47
275,,41
276,,41
277,,44
278,,39
279,,43
280,,33
281,,31
282,,42
283,,31
284,,22
285,,31
286,,30
287,,22
288,,13
289,,14
290,,13
291,,10
292,,12
293,,13
294,,9
295,,9
296,,6
297,,12
298,,6
299,,6
300,,8
301,,15
302,,14
303,,4
304,,10
305,,5
306,,4
307,,12
308,,8
309,,7
310,,9
311,,9
312,,11
313,,7
314,,8
315,,7
316,,11
317,,5
318,,6
319,,9
320,,10
321,,14
322,,13
323,,10
324,,16
325,,9
326,,17
327,,11
328,,8
329,,19
330,,8
331,,7
332,,10
333,,10
334,,12
335,,12
336,,15
337,,10
338,,10
339,,11
340,,17
341,,14
342,,15
343,,12
344,,8
345,,17
346,,12
347,,11
348,,11
