Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,1200
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,1048
Lower Discriminator:,103
Calibration Coefficients:Elapsed Real Time:,20.89
Elapsed Live Time:,20.83
Start Time:,September 19, 2023, 10:15:29
End Time:,September 19, 2023, 10:15:34
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,1,1023,2085,2085,0,384

Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,1
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,1
14,,1
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,1
28,,0
29,,0
30,,1
31,,0
32,,0
33,,0
34,,0
35,,0
36,,0
37,,0
38,,0
39,,1
40,,0
41,,1
42,,1
43,,0
44,,0
45,,0
46,,0
47,,1
48,,1
49,,0
50,,0
51,,0
52,,2
53,,0
54,,0
55,,0
56,,0
57,,0
58,,1
59,,1
60,,0
61,,0
62,,0
63,,0
64,,0
65,,1
66,,1
67,,0
68,,0
69,,0
70,,0
71,,0
72,,0
73,,0
74,,0
75,,0
76,,0
77,,0
78,,0
79,,0
80,,2
81,,0
82,,0
83,,0
84,,0
85,,1
86,,0
87,,0
88,,1
89,,1
90,,0
91,,1
92,,0
93,,0
94,,0
95,,0
96,,1
97,,1
98,,0
99,,0
100,,0
101,,0
102,,0
103,,1
104,,0
105,,0
106,,0
107,,0
108,,0
109,,0
110,,1
111,,3
112,,0
113,,0
114,,1
115,,2
116,,1
117,,0
118,,1
119,,2
120,,1
121,,1
122,,0
123,,2
124,,1
125,,0
126,,0
127,,0
128,,0
129,,3
130,,0
131,,1
132,,1
133,,0
134,,2
135,,3
136,,1
137,,3
138,,0
139,,1
140,,0
141,,0
142,,2
143,,0
144,,0
145,,1
146,,1
147,,1
148,,1
149,,4
150,,2
151,,2
152,,0
153,,3
154,,2
155,,1
156,,4
157,,1
158,,3
159,,2
160,,4
161,,1
162,,1
163,,1
164,,7
165,,3
166,,5
167,,5
168,,6
169,,5
170,,9
171,,5
172,,4
173,,10
174,,9
175,,13
176,,7
177,,5
178,,5
179,,8
180,,2
181,,11
182,,13
183,,5
184,,11
185,,11
186,,8
187,,11
188,,8
189,,5
190,,13
191,,6
192,,7
193,,14
194,,7
195,,10
196,,11
197,,11
198,,17
199,,5
200,,10
201,,12
202,,17
203,,8
204,,16
205,,14
206,,21
207,,14
208,,17
209,,24
210,,10
211,,12
212,,14
213,,11
214,,16
215,,11
216,,21
217,,19
218,,19
219,,13
220,,12
221,,17
222,,23
223,,12
224,,13
225,,18
226,,29
227,,16
228,,10
229,,8
230,,11
231,,13
232,,8
233,,15
234,,10
235,,14
236,,11
237,,10
238,,12
239,,5
240,,9
241,,8
242,,5
243,,8
244,,6
245,,6
246,,6
247,,3
248,,3
249,,8
250,,6
251,,2
252,,5
253,,3
254,,3
255,,2
256,,12
257,,3
258,,3
259,,2
260,,3
261,,3
262,,2
263,,3
264,,0
265,,2
266,,0
267,,2
268,,1
269,,3
270,,1
271,,2
272,,4
273,,0
274,,2
275,,2
276,,2
277,,2
278,,1
279,,0
280,,1
281,,1
282,,0
283,,2
284,,0
285,,0
286,,0
287,,1
288,,1
289,,0
290,,0
291,,1
292,,0
293,,1
294,,1
295,,3
296,,2
297,,2
298,,2
299,,2
300,,2
301,,2
302,,0
303,,3
304,,1
305,,5
306,,1
307,,2
308,,2
309,,1
310,,2
311,,1
312,,1
313,,3
314,,1
315,,0
316,,1
317,,0
318,,1
319,,0
320,,4
321,,2
322,,0
323,,2
324,,0
325,,1
326,,1
327,,2
328,,1
329,,1
330,,2
331,,2
332,,0
333,,1
334,,2
335,,1
336,,4
337,,5
338,,1
339,,1
340,,2
341,,1
342,,3
343,,1
344,,4
345,,1
346,,0
347,,1
348,,0
349,,3
350,,3
351,,5
352,,4
353,,3
354,,3
355,,1
356,,1
357,,1
358,,6
359,,1
360,,3
361,,6
362,,2
363,,3
364,,0
365,,5
366,,2
367,,2
368,,3
369,,2
370,,2
371,,2
372,,1
