Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,1200
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,1048
Lower Discriminator:,103
Calibration Coefficients:Elapsed Real Time:,55.76
Elapsed Live Time:,55.61
Start Time:,September 19, 2023, 10:18:42
End Time:,September 19, 2023, 10:18:47
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,1,1023,5709,5196,0,376

Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,1
5,,1
6,,2
7,,0
8,,0
9,,1
10,,1
11,,0
12,,0
13,,1
14,,1
15,,1
16,,1
17,,1
18,,0
19,,1
20,,1
21,,0
22,,0
23,,2
24,,3
25,,1
26,,1
27,,1
28,,1
29,,0
30,,1
31,,0
32,,0
33,,1
34,,0
35,,0
36,,3
37,,1
38,,0
39,,3
40,,1
41,,1
42,,1
43,,2
44,,0
45,,1
46,,1
47,,1
48,,1
49,,0
50,,0
51,,0
52,,3
53,,2
54,,1
55,,0
56,,0
57,,0
58,,2
59,,1
60,,1
61,,0
62,,0
63,,1
64,,0
65,,2
66,,2
67,,2
68,,1
69,,2
70,,2
71,,0
72,,0
73,,0
74,,0
75,,1
76,,1
77,,0
78,,0
79,,0
80,,2
81,,1
82,,0
83,,1
84,,1
85,,2
86,,1
87,,1
88,,1
89,,2
90,,0
91,,2
92,,1
93,,0
94,,1
95,,1
96,,1
97,,1
98,,1
99,,2
100,,0
101,,0
102,,0
103,,1
104,,0
105,,2
106,,0
107,,0
108,,1
109,,0
110,,2
111,,4
112,,3
113,,1
114,,2
115,,3
116,,6
117,,0
118,,2
119,,3
120,,2
121,,2
122,,1
123,,3
124,,6
125,,3
126,,0
127,,1
128,,2
129,,4
130,,2
131,,4
132,,3
133,,3
134,,4
135,,4
136,,2
137,,5
138,,0
139,,2
140,,2
141,,5
142,,3
143,,1
144,,4
145,,3
146,,3
147,,2
148,,5
149,,7
150,,3
151,,5
152,,2
153,,5
154,,7
155,,4
156,,6
157,,5
158,,4
159,,5
160,,10
161,,9
162,,7
163,,4
164,,15
165,,7
166,,12
167,,11
168,,13
169,,13
170,,19
171,,11
172,,18
173,,23
174,,16
175,,26
176,,17
177,,19
178,,15
179,,18
180,,17
181,,20
182,,25
183,,15
184,,21
185,,25
186,,20
187,,32
188,,25
189,,25
190,,35
191,,18
192,,24
193,,30
194,,15
195,,25
196,,30
197,,23
198,,43
199,,26
200,,35
201,,27
202,,44
203,,28
204,,47
205,,40
206,,45
207,,47
208,,40
209,,48
210,,38
211,,32
212,,38
213,,36
214,,38
215,,39
216,,56
217,,45
218,,45
219,,40
220,,40
221,,56
222,,49
223,,38
224,,30
225,,43
226,,58
227,,58
228,,42
229,,40
230,,38
231,,34
232,,32
233,,37
234,,29
235,,38
236,,40
237,,27
238,,25
239,,20
240,,23
241,,27
242,,19
243,,22
244,,23
245,,21
246,,20
247,,11
248,,19
249,,21
250,,15
251,,13
252,,13
253,,11
254,,13
255,,11
256,,20
257,,13
258,,6
259,,6
260,,9
261,,4
262,,9
263,,9
264,,8
265,,7
266,,4
267,,5
268,,4
269,,8
270,,7
271,,5
272,,11
273,,0
274,,6
275,,2
276,,7
277,,6
278,,6
279,,1
280,,4
281,,5
282,,1
283,,4
284,,1
285,,2
286,,2
287,,2
288,,2
289,,0
290,,0
291,,1
292,,4
293,,6
294,,5
295,,5
296,,4
297,,3
298,,3
299,,5
300,,4
301,,3
302,,2
303,,9
304,,3
305,,9
306,,5
307,,2
308,,6
309,,7
310,,4
311,,3
312,,5
313,,4
314,,6
315,,1
316,,1
317,,6
318,,4
319,,4
320,,10
321,,6
322,,2
323,,4
324,,3
325,,7
326,,6
327,,4
328,,3
329,,5
330,,4
331,,8
332,,1
333,,4
334,,7
335,,5
336,,10
337,,9
338,,3
339,,2
340,,6
341,,1
342,,7
343,,7
344,,5
345,,1
346,,1
347,,2
348,,2
349,,10
350,,7
351,,14
352,,10
353,,14
354,,9
355,,8
356,,3
357,,8
358,,10
359,,4
360,,6
361,,11
362,,6
363,,7
364,,2
365,,6
366,,7
367,,9
368,,9
369,,5
370,,7
371,,10
372,,11
